"1001306","M","0700","0200","M"
"1001313","M","1500","9900","M"
"1001330","M","1500","0100","M"
"1001338","M","0600","0400","M"
"1001343","M","1400","0900","M"
"1001350","M","1500","9900","M"
"1001358","M","1900","0100","M"
"1001399","M","1500","0200","M"
"1001401","M","0700","9900","M"
"1001408","M","1400","0900","M"
"1001454","M","0100","1000","M"
"1001557","M","1400","2300","M"
"1001596","M","1500","9900","M"
"1001641","M","1900","0600","M"
"1001655","M","1900","0100","M"
"1001691","M","0100","0500","M"
"1001729","M","1900","0100","M"
"1001736","M","1400","0900","M"
"1001748","M","1400","2300","M"
"1001765","M","1700","1000","M"
"1001823","M","0400","0400","M"
"1001843","M","1400","0400","M"
"1001864","M","0700","0200","M"
"1001889","M","0700","0500","M"
"1001916","M","0100","1000","M"
"1001941","M","2300","0400","M"
"1001953","M","7000","1700","M"
"1001986","M","1900","0500","M"
"1002081","M","1900","1100","M"
"1002092","M","0600","0100","M"
"1002095","M","0700","0100","M"
"1002104","M","1500","9900","M"
"1002136","M","2800","0100","M"
"1002154","M","0700","0500","M"
"1002156","M","1700","9900","M"
"1002184","M","1500","0100","M"
"1002195","M","1500","0100","M"
"1002258","M","1900","0100","M"
"1002282","M","1800","0100","M"
"1002291","M","1800","0100","M"
"1002294","M","1800","0100","M"
"1002306","M","1500","0100","M"
"1002370","M","1500","9900","M"
"1002376","M","1900","0400","M"
"1002377","M","0700","0200","M"
"1002401","M","1800","0100","M"
"1002403","M","1800","0100","M"
"1002412","M","1400","2300","M"
"1002416","M","1800","9900","M"
"1002441","M","1800","0100","M"
"1002455","M","0100","1000","M"
"1002457","M","1400","0400","M"
"1002479","M","1900","0700","M"
"1002484","M","0700","0200","M"
"1002524","M","1800","0600","M"
"1002550","M","1500","9900","M"
"1002572","M","1400","0900","M"
"1002579","M","0700","0200","M"
"1002598","M","0700","0200","M"
"1002621","M","1800","0100","M"
"1002632","M","0200","0800","M"
"1002641","M","4000","0010","M"
"1002649","M","7800","9900","M"
"1002677","M","1100","0600","M"
"1002682","M","0900","0600","M"
"1002686","M","1800","0200","M"
"1002727","M","1100","0400","M"
"1002730","M","0100","0600","M"
"1002741","M","0700","0400","M"
"1002748","M","0700","0500","M"
"1002767","M","1900","0500","M"
"1002771","M","0700","0500","M"
"1002788","M","0700","0200","M"
"1002791","M","0200","0900","M"
"1002793","M","1600","0800","M"
"1002796","M","0100","1000","M"
"1002800","M","0700","0500","M"
"1002805","M","0700","0200","M"
"1002814","M","1900","0700","M"
"1002840","M","0700","0500","M"
"1002841","M","4000","0010","M"
"1002851","M","0200","0900","M"
"1002852","M","0200","0900","M"
"1002876","M","0400","0400","M"
"1002880","M","1500","9900","M"
"1002890","M","0200","0900","M"
"1002899","M","1900","0800","M"
"1002909","M","7800","9900","M"
"1002966","M","1700","0800","M"
"1002968","M","7800","2000","M"
"1002975","M","0700","0200","M"
"1002999","M","1500","0100","M"
"1003006","M","1900","0700","M"
"1003027","M","1400","9900","M"
"1003029","M","0200","0500","M"
"1003035","M","1900","0600","M"
"1003046","M","0700","0200","M"
"1003048","M","0900","9900","M"
"1003055","M","0600","0400","M"
"1003064","M","1500","0100","M"
"1003065","M","1900","0100","M"
"1003070","M","1400","0900","M"
"1003080","M","2300","0400","M"
"1003082","M","1900","9900","M"
"1003096","M","0700","0200","M"
"1003098","M","0700","0200","M"
"1003104","M","0700","0200","M"
"1003108","M","0700","0200","M"
"1003113","M","1400","0900","M"
"1003123","M","1700","0800","M"
"1003141","M","1900","0100","M"
"1003144","M","0700","0400","M"
"1003149","M","1600","0800","M"
"1003153","M","1900","0100","M"
"1003163","M","1500","9900","M"
"1003185","M","0800","0400","M"
"1003186","M","1100","0600","M"
"1003187","M","1900","0700","M"
"1003193","M","1500","9900","M"
"1003197","M","0800","0800","M"
"1003220","M","0700","0200","M"
"1003229","M","1500","9900","M"
"1003235","M","1100","0600","M"
"1003282","M","1800","0200","M"
"1003302","M","1500","9900","M"
"1003307","M","0700","0200","M"
"1003313","M","1900","0100","M"
"1003349","M","0700","0500","M"
"1003357","M","1900","0400","M"
"1003409","M","1400","1000","M"
"1003435","M","2800","0600","M"
"1003443","M","0700","0500","M"
"1003463","M","0700","0200","M"
"1003494","M","1600","0800","M"
"1003501","M","1500","9900","M"
"1003507","M","0400","0400","M"
"1003510","M","0600","0100","M"
"1003513","M","1500","0100","M"
"1003535","M","1600","0800","M"
"1003604","M","2300","0200","M"
"1003620","M","1900","9900","M"
"1003656","M","1900","0100","M"
"1003665","M","7000","1700","M"
"1003668","M","0600","0200","M"
"1003682","M","1400","0900","M"
"1003687","M","3000","0400","M"
"1003700","M","1900","9900","M"
"1003715","M","1400","0400","M"
"1003739","M","2300","0400","M"
"1003766","M","0800","0100","M"
"1003793","M","0600","0100","M"
"1003807","M","7500","1200","M"
"1003821","M","0100","1000","M"
"1003822","M","1500","0100","M"
"1003836","M","0800","0400","M"
"1003892","M","0400","0400","M"
"1003901","M","0700","0200","M"
"1003902","M","1500","9900","M"
"1003918","M","2800","0500","M"
"1003919","M","1700","0800","M"
"1003929","M","1900","0100","M"
"1003973","M","1900","9900","M"
"1003995","M","0700","0200","M"
"1003999","M","2500","0200","M"
"1004000","M","3000","0500","M"
"1004007","M","2800","0500","M"
"1004013","M","1600","0800","M"
"1004047","M","2800","9900","M"
"1004124","M","0100","0700","M"
"1004126","M","1900","0100","M"
"1004129","M","1500","9900","M"
"1004140","M","1000","0200","M"
"1004143","M","0100","1000","M"
"1004179","M","0800","0400","M"
"1004215","M","1500","0200","M"
"1004219","M","1900","0800","M"
"1004238","M","0600","0100","M"
"1004239","M","1500","0100","M"
"1004263","M","0800","0400","M"
"1004286","M","1800","0600","M"
"1004307","M","1400","0900","M"
"1004316","M","0700","0500","M"
"1004330","M","0100","0800","M"
"1004331","M","0700","0500","M"
"1004342","M","0900","0400","M"
"1004361","M","1500","9900","M"
"1004372","M","0700","0200","M"
"1004398","M","0400","0400","M"
"1004421","M","3000","0800","M"
"1004432","M","1500","9900","M"
"1004457","M","1800","0500","M"
